,logFC,AveExpr,t,P.Value,adj.P.Val,B
TMEM151A,2.923798746234346,0.9133410044366985,3.3699558386446435,0.0009166005547577768,0.07540126126226383,-0.8264152641445897
SLC4A11,2.6138974988284494,3.602671312279901,3.368623247548198,0.0009207810502889199,0.07540126126226383,-0.8194303827984113
AGR3,3.897652308020903,4.20851801895774,3.3653385888072505,0.0009311615955140384,0.07554853018718967,-0.879323435018609
SHROOM1,1.4031601365617434,4.555016435237806,3.361556586056365,0.0009432492596452732,0.07617819479502147,-0.9183517166935689
LRRC31,4.5564638148119885,-0.10849720864387506,3.348535477249654,0.0009859960833249277,0.07811281505153142,-0.9390087795155351
EXPH5,1.3848348943002127,3.3656137650053912,3.3481343711346545,0.0009873411436971157,0.07811281505153142,-0.864051192553795
TNS4,4.969582721754968,5.1341793404554545,3.3464151993657745,0.0009931256024101167,0.07811281505153142,-1.0006374423957034
HIST1H2BD,2.0416525409357087,3.4998492310860856,3.330790480112183,0.0010471670774279173,0.08038977614397763,-0.9246186344627763
CEACAM6,4.8989539177089885,9.320941233754825,3.3299388114346677,0.0010501901915889388,0.08038977614397763,-0.9984155514076738
CIDEC,4.096761624541668,1.6299960895503551,3.3271939499496854,0.0010599889438714049,0.08078859457056256,-0.9104029348041855
SBDS,0.6014517706465092,6.6291672663766965,3.3105288637376695,0.0011213350490578786,0.08436848236629492,-1.1346265970509126
RIBC2,2.204317289526343,-0.6428951770852347,3.3047501870674787,0.00114336867666494,0.08529724119221584,-1.078271905510361
SLC7A11,2.3053606769658597,3.6615492028225387,3.3022035603602125,0.001153206272749406,0.08549706745990418,-1.0217429185841622
CEACAM5,6.376031518639333,7.683298323482164,3.2988873387732855,0.0011661350493698272,0.08549706745990418,-1.1416457760549736
ZNRF1,0.7813083207442135,4.789522277391428,3.298390714402673,0.0011680827983804034,0.08549706745990418,-1.12600096367831
HRASLS2,3.8791315457704743,0.7842667009045803,3.293689726314231,0.001186670684442745,0.08598297805646675,-1.039085336747144
CDC42BPA,1.0106084034309246,6.873736241538611,3.289817523084568,0.0012021880810427425,0.08639070757076948,-1.1923675123721873
FAM101A,2.828735230909843,4.479990752063661,3.28653394337445,0.001215494496378032,0.08659329742339408,-1.1389373344002642
DPCD,1.066285003827974,3.9513651231283604,3.2854878420448483,0.0012197624537658603,0.08659329742339408,-1.096446939399244
ELF3,2.3765523516670175,8.872586177215691,3.2818757789091584,0.001234606717089714,0.08694594344432603,-1.1560871825651011
SEZ6L2,1.4388305897457894,6.613192704740666,3.2781310496781906,0.0012501736392716532,0.08734348052784416,-1.2326947963379835
UBXN10,1.8266638576722962,3.446717704196861,3.274456628511203,0.0012656257289860827,0.08807354381236748,-1.086208252724271
PLA2G10,3.719616898107879,2.7994779590074703,3.27117567133822,0.0012795732270567738,0.08834574994337867,-1.060910986223905
CCDC64B,2.852612564592642,4.841991996036738,3.2686565701313026,0.0012903789747657638,0.08874379777236734,-1.218466238848193
ZNF488,2.763109327536074,1.1802626053598084,3.2670593734092255,0.0012972741136882352,0.08887084842643997,-1.0924036648034505
FAM83H,1.688551031649025,6.718267305585248,3.264349254568993,0.0013090522579984457,0.08889313940109364,-1.2722256009867428
HNF4A,2.5923957979233747,4.778936411745681,3.262751406053151,0.0013160430322288789,0.08889313940109364,-1.2318870427525113
FUT2,2.294165473660753,5.163833994194539,3.262352067278169,0.001317795602844794,0.08889313940109364,-1.2559507025769472
GFPT1,0.9881120480039298,7.16673734077349,3.2585761637091135,0.0013344744978287125,0.08933626087097564,-1.2782701264923464
TRIM15,3.683403570413171,3.06146824788027,3.256888873922497,0.0013419908786048791,0.08949655836635417,-1.112568905028767
NUP62CL,1.6510851665150088,1.2202503482312999,3.2541704159587623,0.00135418368636491,0.08966653521662576,-1.1253515590206913
CLDN12,1.2091945939432236,5.977456974177212,3.249004603979695,0.0013776377252090197,0.09084153479411985,-1.3220152058569816
NPAS2,1.2058199378913805,5.62873093100815,3.2447601784807163,0.001397190518617952,0.09133537361498531,-1.327704751428767
CA9,4.514147546672513,4.638946056508235,3.2440063259951497,0.0014006901554041824,0.09133537361498531,-1.277602907784317
TMEM105,2.9839912544920084,0.08222314665871923,3.233932181615093,0.0014482465283151339,0.09160270797778332,-1.2282905288090271
LOC647946,2.270120077108825,-2.317738078332302,3.228963087912023,0.0014722524074401722,0.0922436864248814,-1.3401590807902197
XDH,3.1612435710225877,3.7852887707973837,3.2248603234022375,0.0014923510871993684,0.09304685265769562,-1.2588959938058633
TRIM31,4.050542744528205,3.8609890059073804,3.2224427554790007,0.001504313337282353,0.09304685265769562,-1.2729490294603707
EMP2,1.234297784224725,6.675194706327092,3.2209996917559565,0.0015114960729354168,0.09304685265769562,-1.4020693053603628
ZG16B,3.2991302979616175,4.0547929200076105,3.219492590169341,0.001519031545542889,0.09312740597800387,-1.299612547269474
SRXN1,0.8270600519371092,5.2477652388268945,3.2159886206824986,0.001536686363600254,0.09329275902602094,-1.3977451912602428
CAPN9,4.708476758370309,2.2291834475110837,3.210468254092379,0.001564887777696758,0.09435415826756548,-1.2216972168498108
EREG,4.175404700014935,1.781284239188455,3.209115116991852,0.0015718733693178485,0.09439268218405927,-1.2294374186764117
ADORA2B,1.8680192563821292,2.5690034594324134,3.2076851165623603,0.0015792872207525087,0.09439268218405927,-1.2335304623907133
MUC1,3.161274648955062,9.003690484655847,3.207238205328449,0.0015816108851696856,0.09439268218405927,-1.3723574791065838
SH3TC2,2.0946793364112004,1.7249893105952998,3.204403399182332,0.0015964241999118544,0.09495487994475711,-1.2432771045132975
CAPN5,2.033316133048899,6.859419283953866,3.2005857889304186,0.0016165766800681134,0.09518879274006423,-1.4584204594535048
KLK10,4.563032588003871,5.506038005374887,3.1889092849161402,0.0016796893856591661,0.096789672291162,-1.4885445674965112
ZIC2,4.094310973257927,-1.16972847258829,3.188836341536083,0.0016800907381346467,0.096789672291162,-1.3915589657171887
UGT1A9,4.609084105518926,0.7192204405800641,3.185888236619565,0.0016963865763865757,0.09728528359564187,-1.3251985093076053
STX3,0.7574087519149657,5.58001705031147,3.184093539849877,0.0017063785255046428,0.09754058545465825,-1.5052884771354487
KLK7,5.435727645987342,3.7792784739513037,3.1818875463146905,0.0017187351266742792,0.09787037250393593,-1.3821979903544728
GPRC5A,3.890582413020421,7.539261758689917,3.176578310639309,0.001748815060815533,0.09810005536338035,-1.5087044471301736
EPHX4,2.3634455456293466,1.151367155024488,3.1751979374475896,0.001756715226046863,0.09810005536338035,-1.3369863072032917
NUDT15,0.7161488065980586,4.288278667100546,3.173174506094782,0.0017683555491636003,0.09810005536338035,-1.4554108268195902
WNT7B,2.6920421782209183,4.039342818230659,3.171600891885504,0.001777457552023079,0.09810005536338035,-1.4366867805136607
LOC84740,4.331533660939321,3.893712910050027,3.164029923726006,0.0018218591580105802,0.09899892696276011,-1.4443141730494595
CYP2C9,3.9771575153713887,1.4029303990237147,3.1552616671835496,0.0018745657934055875,0.10127812989188438,-1.3816497804684316
MYOM3,2.6189712761498503,2.305012327512842,3.154844588584903,0.0018771077252300646,0.10127812989188438,-1.3741757744953524
PYGB,1.3604666522898965,8.11392981684939,3.147209774184228,0.0019242066451429776,0.10127812989188438,-1.5752820607763605
RCOR2,1.5200734458942995,1.6236745130547532,3.145356234893896,0.0019358049438156994,0.10127812989188438,-1.402699133538622
RAPGEFL1,2.357909481081536,5.407764251002185,3.144048885276699,0.0019440244097866377,0.10127812989188438,-1.615226196706221
GRB7,1.85553446204576,5.191757058528147,3.141652483116829,0.001959174817465521,0.10127812989188438,-1.6118209515631703
AADAC,3.5509735592242992,2.018662979957255,3.13797709321421,0.0019826236285891215,0.10127812989188438,-1.4181398301501673
ASAP2,1.3037961164970824,6.263652451948013,3.1333982355338743,0.00201219981581926,0.10127812989188438,-1.6624675870539267
TMEM54,1.3263216974358354,6.1938070828552565,3.133040118787423,0.002014530124159415,0.10127812989188438,-1.66355656099861
PLEKHA6,1.4457848745367912,6.618261443116569,3.132335903284952,0.002019119822336216,0.10127812989188438,-1.6622320109219073
LAMA3,2.39478145837084,7.483440793436349,3.1223065015762708,0.0020855447665609666,0.10172964448300566,-1.6675238809417472
SLPI,2.7165480344272623,7.046472265669466,3.118734213192578,0.002109688145932392,0.10172964448300566,-1.6914097072344427
TMEM184A,1.803518110505912,5.04212816368716,3.1184043055746344,0.002111930818428944,0.10172964448300566,-1.6702405283982538
DNAH3,2.8080335116293003,-0.39644788538249953,3.1138745178015204,0.002142947505913508,0.1023525779261057,-1.5490704169042777
TPSAB1,1.8177597136611716,4.420839394413916,3.1111443675318733,0.0021618444083146295,0.10261438225666325,-1.6449557092932512
KDELR3,1.5676141975412814,5.362296318997016,3.1069578330692775,0.002191121123396567,0.10335169897295166,-1.7199278402964566
ELFN2,2.390849009109317,2.5594347488912406,3.10351027784025,0.0022155047268491257,0.10346465841089048,-1.5187363593117462
LOC127841,2.016910240158021,-2.9342803452868047,3.0974708319482858,0.002258825239769467,0.10493107433082122,-1.6781465768732025
PLEKHA5,1.0867277701972364,5.241053960834848,3.0946233016579185,0.002279520613575305,0.10511086880530379,-1.7492642462408012
PRDM12,1.9234121995653632,-3.197974757690066,3.094474599767633,0.0022806061503820316,0.10511086880530379,-1.6953632122926479
C1GALT1,1.0737495770332246,4.8010111835158895,3.0921906195706987,0.0022973394999617532,0.10539263450138546,-1.7293175059025225
AMN,3.4834281814364445,3.1634759079485084,3.0920066825777313,0.002298692016842668,0.10539263450138546,-1.5815899254451784
F12,2.0887423448105515,2.6656528548882026,3.0909844253009675,0.002306222239918604,0.10546324352209596,-1.5563738499915791
FLJ23867,2.176813027358092,6.407662110318424,3.0900681029897688,0.0023129914710092177,0.10549877678390748,-1.7860905450762612
TOX3,2.2622601048288775,3.950423374128097,3.085917904545733,0.0023438809416682486,0.10608320786378198,-1.6708904520038912
ENTPD2,1.9066063139685259,4.054667096111436,3.082977594691481,0.002365995345986599,0.10680952323446169,-1.6896230470764708
CLDN7,1.718250105672877,6.960046135244863,3.073821901094508,0.00243609584973286,0.10884477522592315,-1.8220566111355563
C1orf27,0.7048220360887258,5.056751418480627,3.070686734464091,0.0024605373474904813,0.10884477522592315,-1.8068975309639104
KRT8,1.6896906399844323,10.646667808768703,3.062281186824141,0.0025271869574823923,0.10920693233745637,-1.7340408847061752
RIN1,1.3431565338368325,4.440474166828221,3.060859623567097,0.0025386221112755326,0.1092786818853717,-1.7885750198639165
EPB41L4B,1.9154362898440684,4.8712121629452545,3.0457648158473773,0.0026630234726015612,0.11174382124213159,-1.8651089183189162
GALNT5,3.3992709033633615,4.217937034233942,3.041757826260197,0.002696977160234837,0.11200051570950773,-1.8208302611053453
EVPL,2.8887960482365638,5.748606850177569,3.0415163971428134,0.002699035622000435,0.11200051570950773,-1.9193833761196641
FA2H,2.372896783331758,5.288030298123909,3.0399219244636764,0.002712666726622626,0.11211082250919709,-1.906265224409311
ANKRD56,1.5777415203449892,2.5212712547419036,3.035898493049422,0.0027473453254688177,0.11273534505860312,-1.6980600217289004
ATP1B1,1.4183573117904729,8.859828490977733,3.0349197486473694,0.0027558427976979135,0.11273534505860312,-1.868586054900538
SCCPDH,0.9792781909194819,6.179870230815079,3.0312729904926337,0.002787717553307471,0.11273534505860312,-1.9532035258080462
TUBAL3,2.520893347473683,-2.2621423341470357,3.030635970292005,0.0027933201806447463,0.11273534505860312,-1.8081502364290425
HIST1H2BC,1.997105036407952,1.4423447738972688,3.0296316666363894,0.002802174146712415,0.11273534505860312,-1.7050366625630358
ENTPD8,2.746636910266029,2.3370536629148,3.0264065922387724,0.0028307814938828353,0.11326986132113909,-1.7172752208721827
